Motion Profile: Recording - 3183 2018.03.83
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
